user_id,track_name,artist,genre,mood,rating
User001,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,hip-hop,Happy,4
User001,La Bachata,Manuel Turizo,latin,Happy,4
User001,I Ain't Worried,OneRepublic,piano,Happy,5
User001,CUFF IT,Beyoncé,dance,Happy,5
User001,Calm Down (with Selena Gomez),Rema;Selena Gomez,pop,Happy,4
User001,Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,dance,Happy,4
User001,Super Freaky Girl,Nicki Minaj,dance,Happy,4
User001,LOKERA,Rauw Alejandro;Lyanno;Brray,latin,Happy,5
User001,Ferrari,James Hype;Miggy Dela Rosa,dance,Happy,4
User001,Te Felicito,Shakira;Rauw Alejandro,latin,Happy,5
User001,La Corriente,Bad Bunny;Tony Dize,latino,Happy,5
User001,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,dance,Happy,5
User001,BILLIE EILISH.,Armani White,hip-hop,Happy,4
User001,One Kiss (with Dua Lipa),Calvin Harris;Dua Lipa,dance,Happy,5
User001,About Damn Time,Lizzo,hip-hop,Happy,5
User001,After LIKE,IVE,k-pop,Happy,4
User001,Die For You,The Weeknd,pop,Happy,4
User001,Why'd You Only Call Me When You're High?,Arctic Monkeys,garage,Happy,4
User001,La Llevo Al Cielo (Ft. Ñengo Flow),Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow,latino,Happy,4
User001,Mary On A Cross,Ghost,hard-rock,Happy,4
User001,THATS WHAT I WANT,Lil Nas X,hip-hop,Happy,5
User001,Bad Decisions (with BTS & Snoop Dogg),benny blanco;BTS;Snoop Dogg,dance,Happy,5
User001,Betty (Get Money),Yung Gravy,hip-hop,Happy,4
User001,Un Coco,Bad Bunny,latino,Happy,5
User001,Everybody Wants To Rule The World,Tears For Fears,synth-pop,Happy,4
User001,Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,dance,Happy,5
User001,Locked out of Heaven,Bruno Mars,dance,Happy,5
User001,The Real Slim Shady,Eminem,hip-hop,Happy,5
User001,The Nights,Avicii,dance,Happy,5
User001,Shape of You,Ed Sheeran,pop,Happy,5
User001,You Proof,Morgan Wallen,country,Happy,4
User001,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons;JID;Arcane;League of Legends,rock,Happy,5
User001,There's Nothing Holdin' Me Back,Shawn Mendes,dance,Happy,5
User001,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X;Jack Harlow,hip-hop,Happy,5
User001,Beggin',Måneskin,indie-pop,Happy,4
User001,Talk that Talk,TWICE,k-pop,Happy,4
User001,Yet To Come,BTS,k-pop,Happy,5
User001,Shinunoga E-Wa,Fujii Kaze,j-pop,Happy,5
User001,Pink + White,Frank Ocean,soul,Happy,5
User001,LOVE DIVE,IVE,k-pop,Happy,5
User001,Back In Black,AC/DC,hard-rock,Happy,4
User001,Everybody Dies In Their Nightmares,XXXTENTACION,emo,Happy,4
User001,MAMIII,Becky G;KAROL G,reggae,Happy,5
User001,positions,Ariana Grande,dance,Happy,4
User001,Stan,Eminem;Dido,hip-hop,Happy,4
User001,Pink Venom,BLACKPINK,k-pop,Happy,5
