user_id,track_name,artist,genre,mood,rating,rated_at
User101,Invincible (feat. Daniel Caesar),Omar Apollo;Daniel Caesar,soul,Sad,5,2026-08-24 12:43:18
User101,Perfect,Ed Sheeran,pop,Sad,5,2026-08-24 12:48:09
User101,Shape of You,Ed Sheeran,pop,Happy,1,2026-08-24 12:48:15
User101,Believer,Imagine Dragons,rock,Happy,2,2026-08-24 12:48:23
User101,Baby,Justin Bieber;Ludacris,pop,Happy,4,2026-08-24 12:48:30
User101,Happier,Marshmello;Bastille,dance,Happy,4,2026-08-24 12:48:36
User101,Bad Habits,Ed Sheeran,pop,Happy,2,2026-08-24 12:49:18
User101,I Feel It Coming,The Weeknd;Daft Punk,pop,Happy,2,2026-08-24 12:48:54
User101,Photograph,Ed Sheeran,pop,Sad,4,2026-08-24 12:49:24
User102,Perfect,Ed Sheeran,pop,Sad,4,2026-08-24 12:50:57
User102,Shape of You,Ed Sheeran,pop,Happy,3,2026-08-24 12:51:03
User102,Believer,Imagine Dragons,rock,Happy,4,2026-08-24 12:51:09
User102,Baby,Justin Bieber;Ludacris,pop,Happy,1,2026-08-24 12:51:18
User102,Happier,Marshmello;Bastille,dance,Happy,3,2026-08-24 12:52:27
User102,Bad Habits,Ed Sheeran,pop,Happy,5,2026-08-24 12:52:34
User102,Photograph,Ed Sheeran,pop,Sad,2,2026-08-24 12:52:43
User102,I Feel It Coming,The Weeknd;Daft Punk,pop,Happy,1,2026-08-24 12:52:49
User102,Mine Mine,Jay Chou,mandopop,Sad,4,2026-08-24 12:56:55
User102,You Belong With Me (Taylor’s Version),Taylor Swift,pop,Angry,3,2026-08-24 12:57:17
User102,Black or White,Michael Jackson,soul,Happy,2,2026-08-24 12:57:33
User102,Money Rain - Phonk Remix,VTORNIK;Phonk,hip-hop,Happy,5,2026-08-24 12:57:46
User101,Leave The Door Open,Bruno Mars;Anderson .Paak;Silk Sonic,dance,Happy,4,2026-08-24 12:58:09
User101,Love The Way You Lie,Eminem;Rihanna,hip-hop,Happy,4,2026-08-24 12:58:30
User101,Love Story,Taylor Swift,pop,Angry,3,2026-08-24 12:58:58
User101,24K Magic - R3hab Remix,Bruno Mars;R3HAB,pop,Happy,1,2026-08-24 12:59:03
User101,Judas,Lady Gaga,dance,Happy,3,2026-08-24 12:59:09
User103,Perfect,Ed Sheeran,pop,Sad,1,2026-08-24 22:34:08
User103,Shape of You,Ed Sheeran,pop,Happy,2,2026-08-24 22:34:13
User103,Believer,Imagine Dragons,rock,Happy,3,2026-08-24 22:34:17
User103,Baby,Justin Bieber;Ludacris,pop,Happy,4,2026-08-24 22:34:27
User103,Happier,Marshmello;Bastille,dance,Happy,5,2026-08-24 22:34:33
User103,Bad Habits,Ed Sheeran,pop,Happy,5,2026-08-24 22:34:41
User103,Photograph,Ed Sheeran,pop,Sad,4,2026-08-24 22:34:46
User103,I Feel It Coming,The Weeknd;Daft Punk,pop,Happy,2,2026-08-24 22:34:51
User103,Story of My Life,One Direction,pop,Angry,3,2026-08-24 22:36:44
User103,Closer,The Chainsmokers;Halsey,dance,Happy,4,2026-08-24 22:36:57
User103,Bad Bitches (feat. Megan Thee Stallion),Marshmello;NITTI;Megan Thee Stallion,progressive-house,Angry,2,2026-08-24 22:37:25
User103,Always Online,JJ Lin,mandopop,Happy,5,2026-08-24 22:37:38
User103,紅色高跟鞋,Tanya Chua,mandopop,Angry,4,2026-08-24 22:37:52
User103,不該,Jay Chou;A-Mei Chang,mandopop,Angry,2,2026-08-24 22:38:23
User103,雨愛,Rainie Yang,mandopop,Angry,1,2026-08-24 22:38:43
User104,太聰明,Cheer Chen,mandopop,Sad,5,2026-08-24 22:39:22
User104,Tic Tac,Future;Lil Uzi Vert,hip-hop,Angry,2,2026-08-24 22:39:43
User104,In Control (Acoustic),Hillsong Worship,world-music,Sad,4,2026-08-24 22:40:28
User104,LIMBO,keshi,chill,Sad,4,2026-08-24 22:40:43
User104,SAD!,XXXTENTACION,emo,Angry,4,2026-08-24 22:40:55
User104,I Feel It Coming,The Weeknd;Daft Punk,pop,Happy,2,2026-08-24 22:41:04
User104,Photograph,Ed Sheeran,pop,Sad,4,2026-08-24 22:41:13
User104,Bad Habits,Ed Sheeran,pop,Happy,4,2026-08-24 22:41:16
User104,Happier,Marshmello;Bastille,dance,Happy,1,2026-08-24 22:41:22
